"date","windMPH","RelativeHumidity","tempF","precip_cm","rainDay","afterRain"
"2021-01-01",6.99206071843293,98.3140037591536,43.1825329589846,0.081922608660534,TRUE,FALSE
"2021-01-02",4.13187273385179,97.8532817629237,49.2687390136712,0.00614722594036721,TRUE,FALSE
"2021-01-03",2.81090950953179,98.4012336756804,49.7744396972655,0.0680168450344354,TRUE,FALSE
"2021-01-04",3.34583113518835,92.8651266987808,42.2876965332039,0,FALSE,TRUE
"2021-01-05",2.3526273346119,94.6318663048961,39.6839367675789,0.0020722547560581,TRUE,FALSE
"2021-01-06",6.56110846622458,90.3307294287809,40.9269299316405,0,FALSE,TRUE
"2021-01-07",2.26623040529565,92.4695205336246,37.1876232910155,7.94728620689966e-06,TRUE,FALSE
"2021-01-08",5.63497920425109,96.6904919456403,36.4508801269539,0.0440577656263486,TRUE,FALSE
"2021-01-09",7.24962502833613,91.4241208632819,38.2471447753905,0.00114639597086352,TRUE,FALSE
"2021-01-10",3.22652304298142,89.3386497817541,37.1543347167962,0,FALSE,TRUE
"2021-01-11",2.70663646682853,95.6604358743864,35.6909558105462,0.0022312005967251,TRUE,FALSE
"2021-01-12",3.6304719746814,94.6662066090093,43.669501953125,0.00489950180053711,TRUE,FALSE
"2021-01-13",1.89701116669285,92.1486169851683,40.0858166503905,1.98682155172492e-06,TRUE,FALSE
"2021-01-14",3.69861023328353,93.5661332178916,43.034931640625,0,FALSE,TRUE
"2021-01-15",5.9252054748783,97.0940847277275,40.8990246582039,0.0134766101837158,TRUE,FALSE
"2021-01-16",6.19095756076564,94.6639700489451,37.2056408691405,0.00328024216287304,TRUE,FALSE
"2021-01-17",6.74944144914515,89.4051343143944,37.9682019042962,0,FALSE,TRUE
"2021-01-18",7.6500134971323,88.6754980563075,39.8008312988289,0,FALSE,FALSE
"2021-01-19",6.92503743014813,87.6312352623057,41.8775219726559,0,FALSE,FALSE
"2021-01-20",6.47662574676229,85.5123209989495,44.2495251464846,0,FALSE,FALSE
"2021-01-21",4.10133149945199,89.3613656874806,42.8847485351559,0.00347097702615429,TRUE,FALSE
"2021-01-22",6.87662395054284,85.2058643483268,47.0229138183596,0,FALSE,TRUE
"2021-01-23",6.80615223775069,82.3793116640821,38.2189099121096,0,FALSE,FALSE
"2021-01-24",1.47776753312828,83.7647436266722,36.1122265625,0,FALSE,FALSE
"2021-01-25",1.64719619055128,94.8684136420597,43.2298840332039,0.0541667162906379,TRUE,FALSE
"2021-01-26",1.20521228011778,98.9930525139369,42.3160412597655,0.0352859497070312,TRUE,FALSE
"2021-01-27",3.40092481622728,93.178420782968,48.2788159179692,0.0146826103446074,TRUE,FALSE
"2021-01-28",10.0996208950245,92.7380604734257,34.5879284667962,0.0534137070644647,TRUE,FALSE
"2021-01-29",7.1979725682499,86.2480967297568,29.9970715332039,0,FALSE,TRUE
"2021-01-30",1.09311809143997,86.783311035975,32.3507824707039,0.00296235084533691,TRUE,FALSE
"2021-01-31",3.84353523602747,97.2154599730675,34.3861645507809,0.0629166781436652,TRUE,FALSE
"2021-02-01",7.55558032607103,95.9741618700235,35.8793713378905,0.00606775283813477,TRUE,FALSE
"2021-02-02",11.8929631679637,87.3908757930986,36.7859631347655,0.000272194552053406,TRUE,FALSE
"2021-02-03",11.4338930669417,79.0472408911602,37.7190319824212,0,FALSE,TRUE
"2021-02-04",3.02723666205257,81.9266864904668,37.6869519042962,0.00253717098530615,TRUE,FALSE
"2021-02-05",7.60179213157565,88.053418497254,46.3404431152346,0.00612139701843262,TRUE,FALSE
"2021-02-06",2.0527769141476,86.2231895378303,42.027265625,0.0320792198181152,TRUE,FALSE
"2021-02-07",5.15683389615044,95.021750728145,38.2607678222655,0.0712255656253546,TRUE,FALSE
"2021-02-08",2.35155452199305,88.8071947778818,36.8792370605462,0,FALSE,TRUE
"2021-02-09",2.61754038716578,93.9929986856924,48.8179699707039,0.00201265011128271,TRUE,FALSE
"2021-02-10",4.12905135337216,92.3675168448575,46.5708264160155,0.000216563535104797,TRUE,FALSE
"2021-02-11",3.74677989122744,97.2051327407573,43.7853527832039,0.0676453113555908,TRUE,FALSE
"2021-02-12",7.39826218669663,98.5937926955332,32.7162426757809,0.0365714222425595,TRUE,FALSE
"2021-02-13",6.91819819754635,98.9396009725315,32.5277722167962,0.0803391158115119,TRUE,FALSE
"2021-02-14",6.5978392125325,99.0332605351252,34.5467297363289,0.0325381755828857,TRUE,FALSE
"2021-02-15",4.75498376577793,99.0791597714296,36.1568310546885,0.0248551368713379,TRUE,FALSE
"2021-02-16",6.7680555704022,94.1968491824731,47.7856945800789,0.0314493983751163,TRUE,FALSE
"2021-02-17",5.76520545519314,87.6573341120905,35.0302380371096,0,FALSE,TRUE
"2021-02-18",7.48283447777184,97.1824208519642,32.5722668457039,0.055716437054798,TRUE,FALSE
"2021-02-19",6.6186872317971,95.2329227591757,37.5583020019539,0.0362316757673398,TRUE,FALSE
"2021-02-20",7.31205767135878,85.2738620625929,35.5580212402346,0,FALSE,TRUE
"2021-02-21",3.64746134858688,85.0441322947996,33.5697705078116,0,FALSE,FALSE
"2021-02-22",6.12728967482044,94.6765654248797,40.6625439453116,0.0321845203870907,TRUE,FALSE
"2021-02-23",7.15554757411486,87.6221047710867,48.7454602050789,0,FALSE,TRUE
"2021-02-24",3.80274946249054,82.8294995284445,53.2042614746096,0,FALSE,FALSE
"2021-02-25",3.34827304786145,81.9993499354861,55.4316845703116,1.98682155172492e-06,TRUE,FALSE
"2021-02-26",6.82862993622742,89.3205806001592,45.3273937988289,0.0496168911922723,TRUE,FALSE
"2021-02-27",3.21901338304864,96.5770315674069,47.0787243652346,0.00475843735330272,TRUE,FALSE
"2021-02-28",5.56366152825813,96.2756912110454,59.2414685058596,0.00596841164224315,TRUE,FALSE
"2021-03-01",7.89464686716508,91.8341479637853,59.4304333496096,0.0613292038906366,TRUE,FALSE
"2021-03-02",3.17612012587572,82.7281424419198,43.7073498535155,0,FALSE,TRUE
"2021-03-03",2.46722039002793,83.6283034370515,46.3219860839846,0,FALSE,FALSE
"2021-03-04",8.04304987561633,77.668551774312,53.0950573730462,0,FALSE,FALSE
"2021-03-05",7.65773510925323,77.7978466244492,44.0336437988289,0,FALSE,FALSE
"2021-03-06",4.89663804465324,79.3702124365988,43.3337048339846,0,FALSE,FALSE
"2021-03-07",5.12626041556947,79.7673892979055,40.1426159667962,0,FALSE,FALSE
"2021-03-08",3.17522100845634,79.3480673776594,43.6673046875,0,FALSE,FALSE
"2021-03-09",5.55862898556218,79.0813959080956,52.0820080566405,0,FALSE,FALSE
"2021-03-10",5.9239771850506,79.2074354290753,57.6895397949212,0,FALSE,FALSE
"2021-03-11",8.82746465947103,83.6373633330739,61.302998046875,0,FALSE,FALSE
"2021-03-12",6.21856523103683,87.7535310731123,64.8058239746096,0.00415046997659374,TRUE,FALSE
"2021-03-13",3.65819910337381,82.9293519731384,60.9212780761712,1.58945724137993e-05,TRUE,FALSE
"2021-03-14",4.223716094584,79.796520939263,57.5879162597655,0,FALSE,TRUE
"2021-03-15",5.66048339231151,73.7024320790444,51.3847607421885,0.000168879830653168,TRUE,FALSE
"2021-03-16",3.01931930805609,94.2163297489416,41.5879772949212,0.0275949627393857,TRUE,FALSE
"2021-03-17",1.96328135433888,96.5192684981334,48.1193493652346,0.00124772386698169,TRUE,FALSE
"2021-03-18",5.86419512181203,98.3235488438891,55.7902233886712,0.0349819660186768,TRUE,FALSE
"2021-03-19",10.4249033039993,90.7096341445479,48.3440747070309,0.0567038834560663,TRUE,FALSE
"2021-03-20",8.38894910924383,82.9440769918092,43.3699597167962,0,FALSE,TRUE
"2021-03-21",8.35116166578238,83.9222539564042,51.1519055175789,0,FALSE,FALSE
"2021-03-22",8.56854053393741,86.1459055167968,54.3437634277346,3.77496093051377e-05,TRUE,FALSE
"2021-03-23",7.00690754203592,94.1456060267207,55.2374462890616,0.000756978988647461,TRUE,FALSE
"2021-03-24",1.48071744836547,95.4871211806422,60.477705078125,0.00424981117248535,TRUE,FALSE
"2021-03-25",3.71699157310458,96.1676442286477,62.3873486328116,0.0212172672036104,TRUE,FALSE
"2021-03-26",9.81823554743183,93.9546750309785,71.0360607910155,0.00456770249002147,TRUE,FALSE
"2021-03-27",1.01919652437942,94.4769540166007,64.1197277832039,0.0125626727822237,TRUE,FALSE
"2021-03-28",10.166854120779,94.2049542333129,65.7132946777346,0.0210305050131865,TRUE,FALSE
"2021-03-29",4.59162738622633,81.9400649998272,52.6461560058596,0,FALSE,TRUE
"2021-03-30",6.20788843546184,85.3366638595412,56.6106823730462,0,FALSE,FALSE
"2021-03-31",7.16164611908409,96.6853072755675,63.7166394042962,0.0565946102142334,TRUE,FALSE
"2021-04-01",11.8835374433854,84.1701215226741,47.5659130859385,0.00146627426147461,TRUE,FALSE
"2021-04-02",8.92514331468854,79.5435257497806,39.07150390625,0,FALSE,TRUE
"2021-04-03",2.95569007400912,81.6862440148613,43.27794921875,0,FALSE,FALSE
"2021-04-04",6.50900041649505,80.4178637087825,57.0062451171885,0,FALSE,FALSE
"2021-04-05",2.37025109203468,81.4411088536568,62.4770520019539,0,FALSE,FALSE
"2021-04-06",5.30612571564744,79.7477935640641,67.0709301757809,0,FALSE,FALSE
"2021-04-07",3.52559874770365,80.2751597008619,70.5176159667962,0,FALSE,FALSE
"2021-04-08",4.39961836048394,84.8738480799611,69.5650463867192,0.000566244125366211,TRUE,FALSE
"2021-04-09",4.32226545622848,90.9301293271512,68.5507336425789,0.0160733863594942,TRUE,FALSE
"2021-04-10",7.60508493570018,94.6834148490031,65.9546643066405,0.0304996967315674,TRUE,FALSE
"2021-04-11",9.82893751101417,88.3479305771587,68.0119641113289,0.00331401824951172,TRUE,FALSE
"2021-04-12",6.32731687009911,80.9491772346889,65.90451171875,0,FALSE,TRUE
"2021-04-13",4.6128563654984,84.5098907694599,64.5202893066405,0,FALSE,FALSE
"2021-04-14",4.09986672823266,84.9097709155781,67.2575329589846,0.00109076499938965,TRUE,FALSE
"2021-04-15",6.72432704217698,85.5216375039996,63.2566418457039,8.34465026855469e-05,TRUE,FALSE
"2021-04-16",4.72865988083861,82.7058301967121,55.14669921875,0,FALSE,TRUE
"2021-04-17",2.21942933127768,84.6349882570196,56.5922253417962,0.0035405158996582,TRUE,FALSE
"2021-04-18",2.3455011720549,84.4260935059065,59.7634838867192,6.95387541327364e-05,TRUE,FALSE
"2021-04-19",4.05888245514595,87.6674907240297,57.3947766113289,0.0124235943076201,TRUE,FALSE
"2021-04-20",5.67794244359194,82.2349324056862,60.8445935058596,1.98682155172492e-06,TRUE,FALSE
"2021-04-21",7.81780168299882,84.4831003705195,58.8261303710942,0.00247160587605322,TRUE,FALSE
"2021-04-22",9.00877545647216,79.1743691909234,47.2752697753905,0,FALSE,TRUE
